M = 1
===  ======  =========  ========
  B    mean      stdev    median
===  ======  =========  ========
  2  244.12  45.5648       237.5
  3  171.82  50.7482       157
  4  127.08  26.5452       122
  5  100.34  19.3228        97.5
  6   86.48  24.3815        82.5
  7   74.42  16.81          71
  8   60.7   12.1003        58.5
  9   57.42  13.5241        54.5
 10   52     11.3335        49.5
 11   48.54   9.01294       49
 12   43.32   8.43811       44
 13   40.64   8.8635        39
 14   39.42   7.6774        39
 15   38.02   7.59562       37
 16   34.66   6.58883       33
 17   31.42   5.16697       30
 18   29.88   5.9715        29
 19   29.38   7.48574       28
 20   29.76   6.8885        28.5
 21   27.94   6.17569       27
 22   26.62   5.28722       26
 23   25      4.92805       24
 24   25.54   4.30572       25
 25   24.74   4.23209       24.5
 26   23.74   4.763         23
 27   22.62   4.40728       21.5
 28   21.46   3.55832       21
 29   21.26   3.72422       21
 30   20.86   3.61409       20
 31   20.5    3.08552       20
 32   19.88   2.47963       20
 33   19.18   3.57251       18
 34   18.98   3.27321       18
 35   18.34   3.69561       18
 36   18.02   2.76634       18
 37   17.78   3.01892       17
 38   17.96   3.00992       17
 39   17.4    2.75533       17
 40   16.88   2.37882       17
 41   17.26   2.50559       17
 42   16.56   2.73421       16
 43   16.38   3.11605       16
 44   16.26   2.10742       16
 45   16.28   2.7704        16
 46   16.12   2.3616        16
 47   15.78   2.37581       16
 48   15.96   2.20352       16
 49   15.46   2.14009       15
 50   15.04   2.3208        15
 51   15.32   2.31622       15
 52   14.7    2.00255       14.5
 53   14.94   2.17978       14.5
 54   14.94   2.4529        14
 55   15.1    2.30572       14
 56   14.1    1.75255       14
 57   14.42   2.01109       14
 58   14.3    2.29685       14
 59   13.66   1.72153       13
 60   13.78   1.71773       14
 61   13.42   1.77385       13
 62   14.44   1.76311       14
 63   13.8    2.20389       13
 64   13.7    1.70533       14
 65   13.82   1.45251       14
 66   13.12   1.57325       13
 67   12.98   1.42127       13
 68   13.7    1.70533       14
 69   12.98   1.42127       13
 70   13.04   1.428         13
 71   12.8    1.26168       12
